id_obat,nama_obat,jenis_obat,harga
OB-001,Obat_1,Tablet,35000
OB-002,Obat_2,Salep,143000
OB-003,Obat_3,Kapsul,197000
OB-004,Obat_4,Tablet,245000
OB-005,Obat_5,Tablet,182000
OB-006,Obat_6,Kapsul,118000
OB-007,Obat_7,Sirup,50000
OB-008,Obat_8,Sirup,86000
OB-009,Obat_9,Sirup,77000
OB-010,Obat_10,Sirup,154000
OB-011,Obat_11,Kapsul,206000
OB-012,Obat_12,Sirup,10000
OB-013,Obat_13,Kapsul,131000
OB-014,Obat_14,Tablet,200000
OB-015,Obat_15,Tablet,70000
OB-016,Obat_16,Sirup,171000
OB-017,Obat_17,Tablet,198000
OB-018,Obat_18,Tablet,107000
OB-019,Obat_19,Tablet,77000
OB-020,Obat_20,Kapsul,52000
OB-021,Obat_21,Sirup,113000
OB-022,Obat_22,Sirup,156000
OB-023,Obat_23,Tablet,233000
OB-024,Obat_24,Sirup,235000
OB-025,Obat_25,Kapsul,214000
OB-026,Obat_26,Sirup,105000
OB-027,Obat_27,Tablet,242000
OB-028,Obat_28,Sirup,165000
OB-029,Obat_29,Sirup,97000
OB-030,Obat_30,Sirup,173000
OB-031,Obat_31,Salep,39000
OB-032,Obat_32,Kapsul,56000
OB-033,Obat_33,Kapsul,228000
OB-034,Obat_34,Kapsul,53000
OB-035,Obat_35,Sirup,178000
OB-036,Obat_36,Kapsul,205000
OB-037,Obat_37,Tablet,189000
OB-038,Obat_38,Sirup,72000
OB-039,Obat_39,Tablet,40000
OB-040,Obat_40,Sirup,212000
OB-041,Obat_41,Kapsul,189000
OB-042,Obat_42,Salep,164000
OB-043,Obat_43,Salep,153000
OB-044,Obat_44,Salep,169000
OB-045,Obat_45,Kapsul,34000
OB-046,Obat_46,Salep,45000
OB-047,Obat_47,Kapsul,17000
OB-048,Obat_48,Salep,217000
OB-049,Obat_49,Kapsul,179000
OB-050,Obat_50,Tablet,185000
OB-051,Obat_51,Tablet,111000
OB-052,Obat_52,Kapsul,73000
OB-053,Obat_53,Kapsul,183000
OB-054,Obat_54,Kapsul,47000
OB-055,Obat_55,Sirup,227000
OB-056,Obat_56,Tablet,218000
OB-057,Obat_57,Salep,99000
OB-058,Obat_58,Kapsul,215000
OB-059,Obat_59,Sirup,112000
OB-060,Obat_60,Tablet,131000
OB-061,Obat_61,Salep,147000
OB-062,Obat_62,Sirup,81000
OB-063,Obat_63,Kapsul,99000
OB-064,Obat_64,Salep,225000
OB-065,Obat_65,Sirup,106000
OB-066,Obat_66,Kapsul,176000
OB-067,Obat_67,Tablet,83000
OB-068,Obat_68,Tablet,157000
OB-069,Obat_69,Kapsul,56000
OB-070,Obat_70,Kapsul,42000
OB-071,Obat_71,Tablet,23000
OB-072,Obat_72,Tablet,124000
OB-073,Obat_73,Tablet,77000
OB-074,Obat_74,Kapsul,244000
OB-075,Obat_75,Tablet,52000
OB-076,Obat_76,Kapsul,155000
OB-077,Obat_77,Salep,223000
OB-078,Obat_78,Kapsul,14000
OB-079,Obat_79,Kapsul,228000
OB-080,Obat_80,Kapsul,216000
OB-081,Obat_81,Sirup,12000
OB-082,Obat_82,Salep,238000
OB-083,Obat_83,Salep,61000
OB-084,Obat_84,Tablet,105000
OB-085,Obat_85,Salep,144000
OB-086,Obat_86,Kapsul,125000
OB-087,Obat_87,Tablet,156000
OB-088,Obat_88,Tablet,31000
OB-089,Obat_89,Salep,107000
OB-090,Obat_90,Sirup,161000
OB-091,Obat_91,Salep,154000
OB-092,Obat_92,Tablet,29000
OB-093,Obat_93,Tablet,166000
OB-094,Obat_94,Tablet,227000
OB-095,Obat_95,Tablet,232000
OB-096,Obat_96,Sirup,184000
OB-097,Obat_97,Tablet,197000
OB-098,Obat_98,Sirup,199000
OB-099,Obat_99,Sirup,124000
OB-100,Obat_100,Kapsul,40000
OB-101,Obat_101,Sirup,175000
OB-102,Obat_102,Kapsul,244000
OB-103,Obat_103,Salep,63000
OB-104,Obat_104,Sirup,21000
OB-105,Obat_105,Sirup,138000
OB-106,Obat_106,Kapsul,186000
OB-107,Obat_107,Kapsul,198000
OB-108,Obat_108,Kapsul,91000
OB-109,Obat_109,Sirup,194000
OB-110,Obat_110,Kapsul,208000
OB-111,Obat_111,Sirup,18000
OB-112,Obat_112,Tablet,11000
OB-113,Obat_113,Sirup,120000
OB-114,Obat_114,Kapsul,125000
OB-115,Obat_115,Kapsul,152000
OB-116,Obat_116,Sirup,145000
OB-117,Obat_117,Kapsul,152000
OB-118,Obat_118,Sirup,155000
OB-119,Obat_119,Tablet,198000
OB-120,Obat_120,Sirup,246000
OB-121,Obat_121,Kapsul,68000
OB-122,Obat_122,Salep,19000
OB-123,Obat_123,Tablet,56000
OB-124,Obat_124,Kapsul,11000
OB-125,Obat_125,Kapsul,11000
OB-126,Obat_126,Sirup,60000
OB-127,Obat_127,Salep,104000
OB-128,Obat_128,Tablet,193000
OB-129,Obat_129,Salep,62000
OB-130,Obat_130,Kapsul,151000
OB-131,Obat_131,Tablet,37000
OB-132,Obat_132,Tablet,112000
OB-133,Obat_133,Tablet,118000
OB-134,Obat_134,Sirup,90000
OB-135,Obat_135,Salep,227000
OB-136,Obat_136,Kapsul,14000
OB-137,Obat_137,Kapsul,209000
OB-138,Obat_138,Tablet,98000
OB-139,Obat_139,Tablet,120000
OB-140,Obat_140,Salep,60000
OB-141,Obat_141,Kapsul,25000
OB-142,Obat_142,Kapsul,20000
OB-143,Obat_143,Salep,225000
OB-144,Obat_144,Kapsul,178000
OB-145,Obat_145,Kapsul,82000
OB-146,Obat_146,Kapsul,30000
OB-147,Obat_147,Salep,124000
OB-148,Obat_148,Sirup,61000
OB-149,Obat_149,Sirup,39000
OB-150,Obat_150,Sirup,197000
OB-151,Obat_151,Sirup,70000
OB-152,Obat_152,Kapsul,140000
OB-153,Obat_153,Salep,69000
OB-154,Obat_154,Tablet,139000
OB-155,Obat_155,Kapsul,88000
OB-156,Obat_156,Tablet,98000
OB-157,Obat_157,Tablet,241000
OB-158,Obat_158,Kapsul,220000
OB-159,Obat_159,Salep,69000
OB-160,Obat_160,Kapsul,221000
OB-161,Obat_161,Kapsul,187000
OB-162,Obat_162,Salep,218000
OB-163,Obat_163,Sirup,71000
OB-164,Obat_164,Sirup,89000
OB-165,Obat_165,Salep,200000
OB-166,Obat_166,Salep,154000
OB-167,Obat_167,Salep,50000
OB-168,Obat_168,Sirup,164000
OB-169,Obat_169,Sirup,240000
